                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2812,                 1.1557,                 1.5535,                0.59848,                0.64557,                0.70843,                0.49124,                 1.3468,                  1.279,                 1.5121,               0.008218,               0.008218,               0.008218
                     56,                 1.2762,                 1.1648,                 1.5358,                0.55305,                 0.6993,                0.71054,                0.50197,                 1.2822,                 1.2793,                 1.4649,               0.008185,               0.008185,               0.008185
                     57,                 1.3204,                 1.1531,                 1.5986,                0.54493,                0.69502,                0.70229,                0.50709,                 1.2733,                 1.2034,                 1.4715,               0.008152,               0.008152,               0.008152
                     58,                 1.1995,                 1.0781,                 1.4711,                0.56534,                0.63377,                0.69207,                0.49687,                 1.2838,                 1.4037,                 1.4452,               0.008119,               0.008119,               0.008119
                     59,                 1.2086,                 1.0663,                 1.5017,                0.57966,                 0.6851,                0.70158,                0.49743,                 1.3261,                 1.2189,                 1.5014,               0.008086,               0.008086,               0.008086
                     60,                 1.2433,                 1.0487,                 1.5023,                0.53033,                0.69907,                0.71722,                0.50751,                 1.2546,                 1.2444,                 1.4466,               0.008053,               0.008053,               0.008053
                     61,                 1.3074,                 1.1096,                 1.5863,                0.55246,                0.66692,                0.70671,                0.52037,                 1.3497,                 1.2787,                 1.5122,                0.00802,                0.00802,                0.00802
                     62,                 1.2956,                 1.1061,                 1.5411,                0.58544,                 0.6763,                 0.7062,                0.49426,                 1.3529,                 1.2352,                  1.529,               0.007987,               0.007987,               0.007987
                     63,                 1.2447,                 1.0254,                 1.5376,                0.62919,                0.70619,                0.73117,                0.51735,                 1.3424,                 1.1667,                 1.4959,               0.007954,               0.007954,               0.007954
                     64,                 1.2348,                 1.0168,                 1.5485,                0.58129,                0.71136,                 0.7225,                0.49756,                 1.3076,                 1.2036,                 1.5025,               0.007921,               0.007921,               0.007921
                     65,                 1.2723,                 1.0974,                 1.5566,                0.60075,                0.73102,                0.71564,                0.50125,                 1.3479,                 1.2319,                 1.4872,               0.007888,               0.007888,               0.007888
                     66,                 1.1666,                 1.0093,                 1.4444,                 0.6103,                0.71661,                0.71646,                0.49504,                 1.3522,                 1.2243,                 1.5114,               0.007855,               0.007855,               0.007855
                     67,                 1.2678,                 1.0645,                 1.6149,                0.58212,                0.75407,                0.75143,                 0.5197,                 1.2988,                 1.2363,                 1.5065,               0.007822,               0.007822,               0.007822
                     68,                 1.2149,                  1.066,                 1.5202,                0.56745,                0.70923,                0.72078,                0.50604,                 1.3403,                 1.2713,                 1.5077,               0.007789,               0.007789,               0.007789
                     69,                 1.2175,                 1.0348,                 1.5102,                0.58484,                0.70641,                0.73783,                0.49753,                 1.4176,                 1.2339,                 1.5768,               0.007756,               0.007756,               0.007756
                     70,                 1.2844,                 1.0465,                 1.6224,                0.59074,                0.71296,                0.74344,                0.51406,                 1.2949,                 1.1939,                 1.4834,               0.007723,               0.007723,               0.007723
                     71,                 1.2431,                0.98251,                 1.5607,                0.60152,                0.74572,                 0.7598,                0.51663,                 1.3095,                 1.1375,                 1.4978,                0.00769,                0.00769,                0.00769
                     72,                 1.2518,                 1.0388,                 1.5687,                0.59059,                0.73751,                0.74809,                0.52457,                 1.2897,                  1.122,                 1.4588,               0.007657,               0.007657,               0.007657
                     73,                 1.1877,                0.96455,                  1.473,                0.57737,                0.74472,                0.77526,                0.54368,                 1.2635,                 1.1351,                 1.4434,               0.007624,               0.007624,               0.007624
                     74,                 1.2517,                 1.0268,                 1.5766,                0.61307,                0.74052,                0.73619,                0.53024,                 1.2173,                 1.0559,                  1.376,               0.007591,               0.007591,               0.007591
                     75,                 1.1743,                 0.9508,                 1.4691,                0.61817,                0.70981,                0.74835,                0.54068,                 1.3268,                 1.2368,                  1.477,               0.007558,               0.007558,               0.007558
                     76,                  1.212,                 1.0047,                 1.5372,                0.62602,                0.73977,                0.77133,                0.54449,                 1.2765,                  1.186,                 1.4621,               0.007525,               0.007525,               0.007525
                     77,                 1.2346,                 1.0197,                 1.5798,                0.63738,                0.71833,                0.76402,                0.54749,                 1.2736,                    1.1,                 1.4676,               0.007492,               0.007492,               0.007492
                     78,                 1.2144,                0.97943,                 1.5418,                0.58136,                 0.7346,                0.75793,                0.54709,                 1.2497,                  1.265,                 1.4575,               0.007459,               0.007459,               0.007459
                     79,                 1.1594,                0.97376,                 1.4888,                0.60177,                  0.713,                0.72943,                0.50722,                 1.2876,                 1.2036,                  1.443,               0.007426,               0.007426,               0.007426
                     80,                 1.1218,                0.91764,                 1.4215,                0.60468,                0.77187,                0.76539,                0.53347,                 1.3137,                 1.1223,                 1.5056,               0.007393,               0.007393,               0.007393
                     81,                  1.203,                 1.1167,                 1.5702,                0.63805,                0.74604,                0.75159,                0.53297,                 1.2998,                 1.1782,                 1.4886,                0.00736,                0.00736,                0.00736
                     82,                 1.1926,                 0.9953,                 1.5475,                0.60359,                0.67389,                0.71032,                0.49405,                  1.359,                 1.2071,                 1.5147,               0.007327,               0.007327,               0.007327
                     83,                 1.1377,                0.91726,                 1.4326,                0.59097,                0.73542,                0.75113,                0.50923,                 1.3476,                 1.2224,                 1.5118,               0.007294,               0.007294,               0.007294
                     84,                 1.2093,                0.93316,                 1.5809,                0.65178,                0.71426,                0.77889,                0.54075,                 1.2757,                  1.066,                 1.4556,               0.007261,               0.007261,               0.007261
                     85,                 1.1534,                0.92616,                 1.4558,                0.59219,                 0.7448,                0.77833,                0.55919,                 1.2556,                 1.1701,                 1.4398,               0.007228,               0.007228,               0.007228
                     86,                 1.1168,                0.91741,                   1.44,                0.62508,                0.71982,                0.75169,                  0.518,                  1.288,                 1.1979,                 1.4817,               0.007195,               0.007195,               0.007195
                     87,                 1.2889,                 1.0045,                 1.6145,                0.68462,                0.70123,                0.76183,                0.54704,                 1.2991,                 1.1702,                 1.4997,               0.007162,               0.007162,               0.007162
                     88,                 1.1906,                0.92448,                 1.5112,                 0.6254,                 0.7296,                0.74631,                0.52992,                 1.2251,                  1.162,                 1.4032,               0.007129,               0.007129,               0.007129
                     89,                  1.146,                0.94796,                 1.5078,                 0.6402,                0.73109,                0.76271,                0.54495,                 1.2803,                 1.1627,                 1.4729,               0.007096,               0.007096,               0.007096
                     90,                 1.1872,                0.95997,                 1.5163,                0.64004,                0.76466,                0.78797,                0.57831,                 1.2412,                  1.096,                 1.4235,               0.007063,               0.007063,               0.007063
                     91,                 1.1592,                0.96448,                 1.4876,                0.63403,                0.69913,                0.74515,                0.53702,                 1.2348,                 1.1706,                 1.4148,                0.00703,                0.00703,                0.00703
                     92,                 1.1157,                 0.8751,                 1.4619,                0.63196,                0.77221,                0.77585,                0.55309,                  1.243,                 1.1152,                 1.4323,               0.006997,               0.006997,               0.006997
                     93,                 1.0996,                0.89293,                 1.4298,                0.59298,                0.71329,                0.74525,                0.54099,                 1.2721,                 1.1613,                 1.4544,               0.006964,               0.006964,               0.006964
                     94,                 1.1491,                0.89855,                 1.5263,                0.61854,                0.75672,                0.75021,                 0.5215,                 1.3081,                 1.1398,                 1.4754,               0.006931,               0.006931,               0.006931
                     95,                 1.1356,                0.90322,                 1.4862,                0.63885,                0.75142,                0.77707,                0.54952,                 1.2832,                 1.1492,                 1.4757,               0.006898,               0.006898,               0.006898
                     96,                 1.1901,                0.90717,                 1.5602,                0.59824,                0.77104,                0.76131,                0.53316,                 1.2913,                 1.0741,                 1.4913,               0.006865,               0.006865,               0.006865
                     97,                  1.134,                0.95414,                 1.4689,                0.65357,                0.74112,                0.78072,                0.53194,                  1.276,                 1.0696,                 1.4687,               0.006832,               0.006832,               0.006832
                     98,                 1.1222,                 0.8564,                 1.4901,                0.60347,                0.75398,                0.75697,                0.53608,                 1.3065,                 1.0808,                 1.4803,               0.006799,               0.006799,               0.006799
                     99,                 1.1332,                0.85935,                 1.5423,                0.61612,                 0.7359,                0.77848,                0.55962,                 1.2454,                 1.1016,                 1.4488,               0.006766,               0.006766,               0.006766
                    100,                 1.1089,                0.90071,                 1.4782,                0.64908,                0.74475,                0.77855,                0.55235,                 1.2349,                 1.0216,                 1.4483,               0.006733,               0.006733,               0.006733
                    101,                 1.1282,                0.88619,                 1.5123,                0.67446,                0.76292,                0.78136,                0.56721,                 1.2518,                 1.0533,                 1.4184,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0931,                0.84681,                 1.4607,                0.63672,                0.72687,                0.75835,                0.53154,                 1.2646,                 1.0706,                 1.4626,               0.006667,               0.006667,               0.006667
                    103,                 1.0414,                0.82283,                 1.4067,                0.63427,                0.73824,                0.77753,                0.53387,                 1.3397,                 1.0786,                 1.5307,               0.006634,               0.006634,               0.006634
                    104,                 1.1054,                0.84933,                 1.4849,                0.68847,                0.77498,                0.79711,                0.55254,                  1.296,                 1.0829,                 1.4765,               0.006601,               0.006601,               0.006601
                    105,                 1.0753,                0.82864,                 1.4192,                0.71765,                0.76868,                0.81103,                0.55727,                 1.3302,                 1.0532,                 1.5096,               0.006568,               0.006568,               0.006568
                    106,                 1.1028,                 0.8321,                  1.481,                  0.659,                0.73757,                0.79748,                0.55738,                 1.2624,                 1.0638,                 1.4449,               0.006535,               0.006535,               0.006535
                    107,                 1.1228,                0.83071,                 1.4954,                0.66265,                0.79168,                0.79579,                0.56369,                 1.2357,                 1.0765,                 1.4247,               0.006502,               0.006502,               0.006502
                    108,                  1.083,                0.81583,                  1.437,                0.66832,                0.74961,                0.79082,                0.56694,                 1.2928,                   1.02,                 1.4964,               0.006469,               0.006469,               0.006469
                    109,                 1.0868,                0.85311,                 1.4792,                0.64656,                0.80398,                0.79005,                0.55955,                 1.3354,                 1.0999,                 1.5186,               0.006436,               0.006436,               0.006436
                    110,                 1.1166,                0.83459,                 1.5407,                0.66395,                0.77403,                 0.7979,                0.56231,                 1.2867,                 1.0555,                 1.4855,               0.006403,               0.006403,               0.006403
