                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.80282,                0.79869,                 1.1386,                0.74215,                 0.7947,                0.83589,                0.62729,                0.83336,                0.93811,                 1.0994,               0.008548,               0.008548,               0.008548
                     46,                0.79649,                0.77954,                 1.1336,                0.80438,                 0.7298,                0.83064,                0.62977,                 0.8296,                0.93659,                 1.0993,               0.008515,               0.008515,               0.008515
                     47,                0.78928,                0.78988,                 1.1321,                0.69611,                0.80365,                0.82532,                0.62314,                 0.8163,                0.99947,                 1.0898,               0.008482,               0.008482,               0.008482
                     48,                0.78953,                0.78781,                 1.1279,                0.73728,                0.80112,                0.82694,                0.61989,                0.85215,                0.94995,                 1.0951,               0.008449,               0.008449,               0.008449
                     49,                0.76585,                0.76142,                 1.1172,                0.77443,                0.74383,                0.83045,                0.63269,                 0.8398,                0.92216,                 1.0915,               0.008416,               0.008416,               0.008416
                     50,                0.77447,                 0.7616,                 1.1231,                0.75491,                0.79987,                0.83629,                 0.6347,                0.83818,                0.86147,                   1.09,               0.008383,               0.008383,               0.008383
                     51,                0.76751,                0.75278,                 1.1151,                0.75387,                0.78436,                0.83404,                0.63741,                0.79932,                0.93717,                 1.0839,                0.00835,                0.00835,                0.00835
                     52,                0.76808,                 0.7489,                 1.1108,                0.70652,                0.81995,                0.83092,                0.62969,                0.79896,                0.89549,                 1.0885,               0.008317,               0.008317,               0.008317
                     53,                 0.7596,                0.74078,                 1.1106,                0.72641,                0.79129,                0.83222,                0.63929,                0.79718,                0.88509,                 1.0773,               0.008284,               0.008284,               0.008284
                     54,                0.76289,                0.73536,                 1.1084,                0.78018,                0.75629,                0.82453,                0.63254,                0.84615,                0.89996,                 1.0995,               0.008251,               0.008251,               0.008251
                     55,                0.74384,                0.73284,                 1.0971,                0.73817,                0.80054,                0.83707,                0.64738,                0.81477,                0.90461,                 1.0763,               0.008218,               0.008218,               0.008218
                     56,                0.75184,                0.72957,                 1.1048,                0.71944,                 0.7986,                0.83505,                0.64438,                0.81445,                0.89254,                 1.0787,               0.008185,               0.008185,               0.008185
                     57,                0.74731,                0.71591,                 1.1081,                0.75613,                0.78145,                 0.8372,                0.64347,                0.81965,                0.92305,                 1.0946,               0.008152,               0.008152,               0.008152
                     58,                0.73517,                0.71855,                 1.0982,                0.79948,                 0.7706,                0.83975,                0.64839,                 0.8301,                0.94069,                 1.1003,               0.008119,               0.008119,               0.008119
                     59,                0.73917,                0.71481,                 1.1034,                0.72892,                0.82325,                0.83684,                0.64449,                0.80677,                0.88468,                 1.0749,               0.008086,               0.008086,               0.008086
                     60,                0.73258,                0.70414,                 1.0894,                0.82402,                0.73378,                0.84288,                0.65636,                0.81071,                 0.9051,                 1.0668,               0.008053,               0.008053,               0.008053
                     61,                0.72439,                0.70258,                 1.0927,                0.81533,                0.73433,                0.83944,                0.65148,                0.79994,                0.91493,                  1.068,                0.00802,                0.00802,                0.00802
                     62,                0.73506,                 0.7099,                 1.0871,                0.74822,                0.81384,                0.84088,                0.65373,                0.80371,                0.85897,                 1.0649,               0.007987,               0.007987,               0.007987
                     63,                0.72228,                0.68046,                 1.0858,                0.77046,                0.78433,                 0.8367,                0.65018,                0.82047,                0.92171,                 1.0644,               0.007954,               0.007954,               0.007954
                     64,                0.71713,                0.69604,                 1.0783,                0.74078,                0.80718,                0.85148,                 0.6587,                 0.8101,                0.88638,                  1.071,               0.007921,               0.007921,               0.007921
                     65,                0.71325,                0.68886,                 1.0807,                0.76106,                0.81689,                0.85535,                0.66101,                0.79263,                0.85516,                 1.0501,               0.007888,               0.007888,               0.007888
                     66,                0.71208,                0.69473,                 1.0817,                0.72474,                0.81523,                0.83931,                0.65016,                0.79261,                0.89178,                  1.062,               0.007855,               0.007855,               0.007855
                     67,                0.71045,                0.67405,                 1.0775,                0.74253,                0.80582,                0.83831,                0.65549,                0.77931,                0.91093,                 1.0553,               0.007822,               0.007822,               0.007822
                     68,                0.69245,                0.66246,                 1.0707,                0.77335,                0.79755,                0.85015,                0.66207,                0.79213,                0.90592,                  1.067,               0.007789,               0.007789,               0.007789
                     69,                0.70103,                0.66824,                 1.0787,                0.78029,                0.80186,                0.85532,                0.66052,                 0.7951,                0.85741,                  1.073,               0.007756,               0.007756,               0.007756
                     70,                0.68904,                0.64331,                 1.0657,                0.76961,                0.80335,                0.84409,                0.66055,                0.78977,                0.89014,                 1.0536,               0.007723,               0.007723,               0.007723
                     71,                0.69796,                0.65427,                 1.0699,                0.74593,                0.80825,                0.84757,                0.66247,                0.79095,                0.88832,                 1.0522,                0.00769,                0.00769,                0.00769
                     72,                0.69541,                0.66898,                 1.0689,                0.74822,                0.79435,                0.84893,                0.66356,                0.76435,                0.92063,                 1.0552,               0.007657,               0.007657,               0.007657
                     73,                0.69362,                 0.6646,                 1.0683,                0.77786,                0.82545,                0.85888,                0.66397,                0.76844,                0.84696,                 1.0508,               0.007624,               0.007624,               0.007624
                     74,                0.68006,                0.64766,                 1.0609,                0.76476,                 0.8103,                 0.8602,                0.67045,                0.78701,                0.88927,                 1.0558,               0.007591,               0.007591,               0.007591
                     75,                0.68119,                0.64415,                 1.0609,                 0.7771,                 0.8042,                0.85096,                0.66755,                0.77268,                0.91012,                 1.0494,               0.007558,               0.007558,               0.007558
                     76,                0.67254,                0.63043,                 1.0616,                0.74698,                0.80469,                0.84484,                0.66037,                0.78109,                0.93934,                 1.0558,               0.007525,               0.007525,               0.007525
                     77,                0.68166,                0.64152,                 1.0594,                0.76765,                0.79034,                0.83915,                0.66007,                0.78342,                0.96073,                 1.0598,               0.007492,               0.007492,               0.007492
                     78,                0.66372,                0.62839,                 1.0564,                0.77282,                 0.7968,                0.84964,                0.66307,                0.75861,                 0.9052,                 1.0506,               0.007459,               0.007459,               0.007459
                     79,                0.66815,                0.63522,                 1.0603,                0.74905,                0.79576,                 0.8422,                0.65461,                0.77278,                0.93042,                 1.0523,               0.007426,               0.007426,               0.007426
                     80,                0.65986,                0.62232,                 1.0527,                 0.8162,                 0.7422,                0.84229,                0.66103,                0.76262,                0.91995,                 1.0411,               0.007393,               0.007393,               0.007393
                     81,                0.66376,                0.62527,                 1.0542,                0.80619,                0.78222,                0.85654,                0.67144,                0.76103,                 0.9712,                 1.0476,                0.00736,                0.00736,                0.00736
                     82,                0.65987,                0.61943,                 1.0453,                 0.7791,                0.79978,                0.85257,                0.66495,                0.77143,                0.87904,                 1.0467,               0.007327,               0.007327,               0.007327
                     83,                0.65346,                0.61483,                 1.0426,                0.75736,                0.81224,                 0.8533,                0.66895,                0.75795,                0.90751,                 1.0547,               0.007294,               0.007294,               0.007294
                     84,                0.65284,                0.61468,                 1.0426,                0.78824,                 0.7891,                0.85262,                0.66657,                0.75802,                0.90775,                 1.0456,               0.007261,               0.007261,               0.007261
                     85,                0.64806,                0.61498,                  1.042,                0.82953,                0.74068,                0.85237,                0.66697,                0.77201,                0.97553,                 1.0562,               0.007228,               0.007228,               0.007228
                     86,                0.64438,                0.60262,                 1.0492,                0.77625,                 0.7852,                0.85344,                0.66922,                0.76373,                 0.9241,                  1.046,               0.007195,               0.007195,               0.007195
                     87,                0.65125,                0.60626,                 1.0415,                0.77888,                0.80521,                 0.8652,                0.67869,                 0.7652,                0.89589,                 1.0504,               0.007162,               0.007162,               0.007162
                     88,                0.64439,                0.59936,                  1.041,                0.77397,                0.82507,                0.85801,                 0.6777,                0.77697,                0.88248,                 1.0448,               0.007129,               0.007129,               0.007129
                     89,                0.64053,                0.59752,                 1.0346,                0.78433,                0.79452,                0.84823,                0.66832,                0.77033,                0.93276,                 1.0509,               0.007096,               0.007096,               0.007096
                     90,                0.64217,                0.60202,                 1.0404,                0.78975,                0.78033,                0.85162,                0.67277,                0.74985,                0.95306,                 1.0382,               0.007063,               0.007063,               0.007063
                     91,                0.62813,                0.58355,                 1.0313,                0.80052,                0.78751,                0.85413,                0.67419,                0.77762,                0.93627,                 1.0571,                0.00703,                0.00703,                0.00703
                     92,                0.62268,                0.57945,                   1.03,                0.76629,                 0.8026,                0.85523,                0.67489,                0.75782,                0.93558,                 1.0372,               0.006997,               0.006997,               0.006997
                     93,                0.62488,                0.57641,                  1.031,                0.75258,                0.81529,                 0.8514,                0.67237,                 0.7565,                0.90499,                 1.0397,               0.006964,               0.006964,               0.006964
