                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.3824,                 1.3468,                 1.6544,                0.52924,                0.68908,                0.69078,                0.46823,                 1.4425,                  1.365,                  1.717,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3872,                 1.3544,                 1.7068,                0.53343,                0.64968,                0.70526,                0.49076,                 1.4288,                 1.4051,                 1.6535,               0.007426,               0.007426,               0.007426
                     54,                 1.3688,                 1.2696,                 1.6249,                0.50852,                0.69379,                0.65005,                0.45172,                 1.4326,                  1.362,                 1.6345,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3734,                 1.2733,                 1.6776,                 0.5429,                0.71909,                0.69486,                0.49506,                 1.2926,                  1.251,                 1.5492,               0.007327,               0.007327,               0.007327
                     56,                 1.3135,                 1.2266,                 1.6285,                0.51961,                0.67683,                0.71079,                0.50338,                 1.3781,                 1.2634,                 1.5977,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3365,                 1.2228,                 1.6646,                0.49461,                 0.7244,                0.68818,                0.48054,                 1.3618,                 1.2743,                 1.5892,               0.007228,               0.007228,               0.007228
                     58,                 1.3832,                 1.2766,                 1.6822,                0.48225,                0.69901,                0.68242,                0.47024,                 1.3796,                 1.2948,                 1.5946,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3453,                 1.2637,                 1.6547,                0.59308,                0.66729,                0.72621,                0.51051,                  1.453,                 1.3392,                 1.6938,               0.007129,               0.007129,               0.007129
                     60,                 1.3349,                 1.2441,                 1.6487,                0.54052,                 0.6941,                0.67577,                 0.4861,                 1.4027,                 1.3737,                 1.6168,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3193,                 1.2032,                 1.5747,                0.52674,                0.67867,                0.69723,                0.49233,                 1.3595,                 1.2551,                 1.6247,                0.00703,                0.00703,                0.00703
                     62,                 1.3012,                 1.1876,                  1.583,                0.53042,                0.72561,                0.69516,                0.47145,                 1.3992,                 1.2429,                 1.6535,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3139,                 1.2209,                   1.63,                0.55755,                0.72406,                0.73957,                0.52102,                  1.443,                 1.2709,                 1.7199,               0.006931,               0.006931,               0.006931
                     64,                 1.2749,                 1.2017,                 1.5855,                0.56669,                0.71274,                0.68111,                0.46704,                 1.3483,                 1.2766,                 1.6069,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2449,                 1.1326,                  1.565,                0.58401,                 0.7064,                0.71817,                0.51952,                 1.2794,                 1.2592,                 1.5537,               0.006832,               0.006832,               0.006832
                     66,                 1.2643,                 1.1418,                 1.6031,                0.56682,                0.74133,                0.73946,                0.51997,                 1.3489,                 1.2153,                  1.609,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3466,                 1.1993,                 1.6792,                0.53318,                0.69158,                0.64157,                0.45736,                 1.4329,                  1.219,                 1.7035,               0.006733,               0.006733,               0.006733
                     68,                 1.3055,                 1.1321,                 1.6542,                0.56999,                0.67331,                0.70782,                0.47231,                 1.4803,                 1.3314,                 1.7291,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3099,                 1.1467,                 1.6562,                0.59064,                0.68585,                0.72195,                0.51015,                 1.3406,                 1.2145,                 1.5708,               0.006634,               0.006634,               0.006634
                     70,                 1.2812,                 1.1151,                 1.6051,                 0.5789,                0.70466,                0.72485,                0.51442,                 1.3804,                 1.3159,                 1.6221,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2203,                 1.1221,                 1.5443,                0.52548,                0.74547,                0.71382,                0.50587,                 1.3149,                 1.2802,                 1.5692,               0.006535,               0.006535,               0.006535
                     72,                 1.2583,                 1.1118,                 1.5957,                0.55961,                0.75287,                0.73821,                0.52456,                 1.2591,                 1.1876,                   1.53,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2825,                 1.1069,                 1.6117,                0.56062,                0.74612,                0.70106,                0.49029,                  1.319,                 1.1465,                 1.5939,               0.006436,               0.006436,               0.006436
                     74,                 1.2648,                 1.0935,                 1.6248,                0.61936,                0.68035,                0.74407,                0.50618,                 1.3879,                 1.2155,                 1.6243,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3328,                 1.1737,                 1.6688,                0.55101,                0.70157,                0.72728,                0.49479,                 1.4231,                 1.2553,                  1.648,               0.006337,               0.006337,               0.006337
                     76,                 1.2171,                 1.0598,                 1.5337,                0.62749,                0.71669,                0.73624,                0.50594,                 1.3306,                 1.1792,                 1.6021,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2619,                 1.0507,                 1.5561,                0.58845,                0.75207,                0.74633,                0.53945,                 1.3143,                  1.142,                 1.5868,               0.006238,               0.006238,               0.006238
                     78,                 1.2513,                 1.0974,                 1.5817,                0.55246,                0.72291,                0.73361,                 0.5196,                  1.341,                 1.2218,                 1.5954,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2434,                 1.0906,                 1.5961,                0.58676,                0.73308,                0.73618,                0.51399,                 1.3108,                  1.192,                 1.5793,               0.006139,               0.006139,               0.006139
                     80,                 1.2586,                 1.0965,                 1.6105,                0.52867,                 0.7424,                0.69849,                0.48023,                 1.3836,                 1.3097,                 1.6411,              0.0060895,              0.0060895,              0.0060895
                     81,                  1.196,                 1.0793,                 1.5293,                0.59542,                0.74114,                0.70589,                0.50645,                 1.3144,                 1.2326,                 1.5662,                0.00604,                0.00604,                0.00604
                     82,                 1.2894,                 1.0829,                 1.6648,                0.57254,                0.74781,                0.72609,                0.52548,                 1.3328,                 1.2372,                 1.5919,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2608,                 1.0304,                 1.6202,                0.58804,                0.71269,                0.66463,                0.46113,                 1.3957,                 1.2895,                 1.5941,               0.005941,               0.005941,               0.005941
                     84,                 1.2293,                 1.0629,                 1.5771,                0.56595,                0.73511,                0.72462,                0.50505,                 1.3965,                 1.3009,                 1.6544,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2284,                 1.0122,                 1.5742,                0.59099,                0.73045,                0.72243,                0.52091,                 1.3388,                 1.1524,                 1.6224,               0.005842,               0.005842,               0.005842
                     86,                 1.2482,                 1.0617,                 1.6056,                0.56632,                0.70482,                0.70797,                0.49403,                 1.3139,                  1.251,                  1.558,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2133,                 1.0382,                 1.6014,                0.56327,                0.75496,                0.73783,                0.49775,                 1.4048,                 1.2816,                 1.6219,               0.005743,               0.005743,               0.005743
                     88,                 1.2077,                 1.0207,                 1.5638,                0.58381,                0.74416,                0.73668,                0.50937,                 1.4124,                 1.2541,                 1.6662,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1632,                0.98666,                 1.5118,                0.59802,                0.75556,                0.77718,                0.55661,                 1.3583,                 1.1376,                 1.6225,               0.005644,               0.005644,               0.005644
                     90,                 1.2648,                 1.0206,                 1.6401,                0.60262,                0.72963,                0.73781,                0.51298,                 1.3381,                 1.1437,                 1.5541,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1995,                 1.0015,                 1.5963,                0.58342,                0.75178,                0.71567,                0.51126,                 1.3472,                 1.1858,                 1.6157,               0.005545,               0.005545,               0.005545
                     92,                 1.1969,                 1.0126,                 1.5487,                0.58372,                0.74025,                0.75041,                0.54187,                 1.3222,                 1.2307,                 1.5739,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2256,                 1.0086,                 1.6122,                0.61622,                0.68355,                0.69043,                0.50175,                 1.2586,                  1.185,                 1.5459,               0.005446,               0.005446,               0.005446
                     94,                 1.1923,                0.97614,                 1.5843,                 0.6259,                0.72138,                0.73671,                0.52818,                   1.36,                 1.1986,                 1.6172,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1869,                 0.9703,                 1.5872,                0.57602,                0.73374,                0.74802,                0.51739,                 1.3259,                 1.1593,                 1.5572,               0.005347,               0.005347,               0.005347
                     96,                 1.1702,                0.97306,                 1.5428,                0.60017,                0.73355,                0.75378,                0.53998,                 1.3236,                 1.1628,                 1.6131,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1571,                0.96095,                 1.5329,                0.65337,                 0.7328,                0.75883,                0.52342,                 1.3645,                  1.173,                  1.611,               0.005248,               0.005248,               0.005248
                     98,                 1.1783,                0.95781,                 1.5407,                0.57299,                0.74167,                0.71598,                0.50646,                 1.3759,                 1.1919,                 1.6211,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.1465,                0.93929,                 1.5331,                0.59028,                0.72712,                0.73322,                0.52301,                 1.3709,                  1.261,                 1.6323,               0.005149,               0.005149,               0.005149
                    100,                 1.1508,                0.91453,                 1.5319,                  0.636,                0.72218,                0.73857,                0.52299,                 1.3076,                 1.2502,                 1.5507,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1183,                0.90922,                 1.5052,                0.59577,                0.73799,                0.73417,                 0.5223,                 1.3557,                 1.2505,                 1.6262,                0.00505,                0.00505,                0.00505
                    102,                 1.1282,                0.93331,                 1.5174,                0.62393,                0.72558,                0.72085,                0.48985,                 1.3848,                 1.2839,                 1.6388,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.1724,                0.94874,                 1.5873,                0.63741,                0.71533,                0.73242,                0.51039,                  1.321,                 1.2066,                 1.5724,               0.004951,               0.004951,               0.004951
                    104,                 1.1157,                0.89564,                  1.503,                0.61814,                0.73727,                0.75036,                0.53218,                 1.3323,                 1.2142,                 1.6209,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1433,                0.89804,                 1.5916,                0.64032,                0.75901,                0.77284,                0.53344,                 1.3828,                 1.2134,                 1.6374,               0.004852,               0.004852,               0.004852
                    106,                 1.1309,                0.91262,                 1.5334,                0.65664,                0.76106,                0.77609,                0.54161,                 1.3663,                  1.168,                 1.6392,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1058,                0.89273,                 1.4766,                0.63975,                0.70672,                0.73416,                0.52086,                 1.3185,                 1.2222,                 1.5789,               0.004753,               0.004753,               0.004753
                    108,                 1.1158,                0.88049,                 1.5097,                0.66072,                0.74114,                0.76192,                0.52513,                 1.3509,                 1.1992,                  1.636,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1597,                0.87652,                 1.6079,                0.71932,                0.70396,                0.77002,                0.53225,                 1.2979,                 1.1845,                 1.5876,               0.004654,               0.004654,               0.004654
